Feature ranking:
1. mindO (0.009595)
2. maxdO (0.009423)
3. maxHBint2 (0.005910)
4. nBondsD (0.004497)
5. maxHBd (0.004449)
6. nBondsD2 (0.004439)
7. ndO (0.004349)
8. TopoPSA (0.003943)
9. SdO (0.003822)
10. XLogP (0.003656)
11. ETA_dPsi_A (0.003539)
12. SHBint2 (0.003350)
13. nHBint2 (0.003282)
14. nHBAcc_Lipinski (0.003270)
15. minHBint2 (0.003058)
16. CrippenLogP (0.003053)
17. SHBd (0.002913)
18. maxHBa (0.002881)
19. nO (0.002881)
20. minHBd (0.002838)
21. MDEO-11 (0.002784)
22. maxssCH2 (0.002776)
23. maxHBint4 (0.002734)
24. GATS2e (0.002718)
25. LipoaffinityIndex (0.002688)
26. nHBAcc (0.002673)
27. MDEN-22 (0.002669)
28. ETA_Psi_1 (0.002640)
29. WTPT-4 (0.002478)
30. ETA_dAlpha_B (0.002427)
31. C1SP2 (0.002376)
32. MLFER_A (0.002355)
33. nBase (0.002316)
34. CIC2 (0.002300)
35. BIC1 (0.002282)
36. CIC1 (0.002279)
37. MLFER_S (0.002272)
38. maxHsOH (0.002264)
39. AATSC1c (0.002236)
40. ETA_Epsilon_2 (0.002231)
41. maxaasC (0.002226)
42. AATSC0c (0.002218)
43. GATS2s (0.002216)
44. MAXDP2 (0.002205)
45. MATS1c (0.002176)
46. ATSC1c (0.002174)
47. minwHBa (0.002168)
48. AATSC0e (0.002130)
49. MAXDP (0.002126)
50. ndssC (0.002094)
51. IC0 (0.002084)
52. GATS2c (0.002062)
53. mindssC (0.002033)
54. MAXDN2 (0.002019)
55. SIC1 (0.001988)
56. SIC0 (0.001939)
57. BIC0 (0.001924)
58. GATS1e (0.001920)
59. nN (0.001883)
60. GATS1s (0.001807)
61. nHCsats (0.001786)
62. SssCH2 (0.001785)
63. minssCH2 (0.001782)
64. minHBint4 (0.001779)
65. MATS2e (0.001767)
66. MLFER_BH (0.001747)
67. minHsOH (0.001741)
68. AATS1i (0.001737)
69. ATSC1e (0.001736)
70. IC1 (0.001729)
71. minHdsCH (0.001723)
72. minHBa (0.001720)
73. ETA_EtaP (0.001708)
74. WTPT-5 (0.001686)
75. maxHdsCH (0.001679)
76. maxsssCH (0.001677)
77. BIC2 (0.001656)
78. hmax (0.001656)
79. SHBint4 (0.001652)
80. nAcid (0.001644)
81. MAXDN (0.001641)
82. ZMIC2 (0.001635)
83. SHsOH (0.001631)
84. MATS2c (0.001625)
85. MDEC-22 (0.001618)
86. maxdsN (0.001617)
87. ETA_AlphaP (0.001614)
88. GGI3 (0.001608)
89. SIC2 (0.001607)
90. AATS1e (0.001605)
91. mindsN (0.001603)
92. ETA_dEpsilon_C (0.001588)
93. MLFER_BO (0.001578)
94. WTPT-3 (0.001573)
95. ETA_dEpsilon_D (0.001561)
96. AATS4s (0.001548)
97. ATSC2c (0.001548)
98. ATSC2i (0.001513)
99. nHBAcc2 (0.001508)
100. MLogP (0.001499)
101. nHBDon_Lipinski (0.001485)
102. ATSC4p (0.001481)
103. SHCsats (0.001479)
104. AATSC1e (0.001478)
105. ETA_EtaP_L (0.001473)
106. ATSC2e (0.001473)
107. AMR (0.001469)
108. SHBa (0.001464)
109. SRW5 (0.001460)
110. ALogP (0.001460)
111. AATS3s (0.001460)
112. ATSC8i (0.001459)
113. ATSC3c (0.001457)
114. ZMIC3 (0.001452)
115. maxaaCH (0.001452)
116. ATSC1m (0.001449)
117. ATS2m (0.001443)
118. minaaCH (0.001439)
119. Mse (0.001436)
120. nBondsS3 (0.001433)
121. ZMIC1 (0.001432)
122. SaaCH (0.001432)
123. n6Ring (0.001427)
124. AATS0e (0.001424)
125. ETA_dEpsilon_A (0.001415)
126. nX (0.001413)
127. ATSC4v (0.001413)
128. nssCH2 (0.001413)
129. nT5HeteroRing (0.001409)
130. n5HeteroRing (0.001405)
131. nHBDon (0.001399)
132. AATSC2e (0.001395)
133. ETA_Epsilon_4 (0.001393)
134. CIC0 (0.001387)
135. SdsN (0.001385)
136. MATS4v (0.001380)
137. MATS1s (0.001379)
138. AATSC0v (0.001378)
139. minsOH (0.001378)
140. ATSC0c (0.001377)
141. nHBd (0.001376)
142. SaasC (0.001373)
143. GATS4v (0.001373)
144. ALogp2 (0.001368)
145. GGI4 (0.001367)
146. ndsN (0.001367)
147. ATSC2p (0.001366)
148. ETA_dBeta (0.001361)
149. AATSC2i (0.001361)
150. MATS2s (0.001359)
151. AATSC4v (0.001355)
152. hmin (0.001354)
153. ATSC3s (0.001354)
154. maxsCl (0.001353)
155. MATS8i (0.001352)
156. ATSC0e (0.001350)
157. C2SP3 (0.001348)
158. GATS8p (0.001342)
159. AATSC1m (0.001336)
160. R_TpiPCTPC (0.001331)
161. SdssC (0.001329)
162. nHBAcc3 (0.001328)
163. Mare (0.001328)
164. ETA_EtaP_F_L (0.001325)
165. AATS5s (0.001324)
166. GATS5e (0.001324)
167. n5Ring (0.001322)
168. AATSC2c (0.001321)
169. MATS4p (0.001319)
170. MATS1e (0.001317)
171. ETA_EtaP_F (0.001314)
172. SRW7 (0.001313)
173. nT5Ring (0.001312)
174. ATSC3p (0.001306)
175. naasC (0.001306)
176. nBondsS2 (0.001306)
177. minsCl (0.001304)
178. minaasC (0.001303)
179. MIC1 (0.001302)
180. ETA_Epsilon_5 (0.001300)
181. maxsOH (0.001299)
182. AATSC8i (0.001299)
183. MIC0 (0.001299)
184. nH (0.001297)
185. ZMIC5 (0.001296)
186. ZMIC4 (0.001294)
187. Mv (0.001293)
188. AATSC2p (0.001292)
189. AATSC3c (0.001290)
190. AATS2v (0.001286)
191. MATS8p (0.001285)
192. AATSC4p (0.001283)
193. AATS0v (0.001281)
194. minsssCH (0.001281)
195. AATS2p (0.001277)
196. ETA_Epsilon_1 (0.001276)
197. AATS2m (0.001275)
198. ETA_Eta_L (0.001265)
199. minssssNp (0.001264)
200. AATS2s (0.001263)
201. GATS4i (0.001263)
202. Mpe (0.001262)
203. ATS3p (0.001262)
204. ATSC3v (0.001262)
205. AATS7v (0.001259)
