Feature ranking:
1. mindO (0.006914)
2. maxdO (0.006665)
3. PubchemFP19 (0.004740)
4. maxHBint2 (0.004420)
5. PubchemFP420 (0.004343)
6. PubchemFP443 (0.003765)
7. maxHBd (0.003532)
8. nBondsD2 (0.003329)
9. nBondsD (0.003285)
10. ndO (0.003165)
11. PubchemFP18 (0.003044)
12. XLogP (0.002960)
13. TopoPSA (0.002896)
14. SdO (0.002749)
15. PubchemFP535 (0.002726)
16. ETA_dPsi_A (0.002691)
17. PubchemFP16 (0.002657)
18. CrippenLogP (0.002591)
19. SHBint2 (0.002451)
20. nHBint2 (0.002406)
21. nHBAcc_Lipinski (0.002363)
22. PubchemFP451 (0.002336)
23. PubchemFP20 (0.002325)
24. minHBint2 (0.002304)
25. PubchemFP579 (0.002297)
26. SHBd (0.002252)
27. LipoaffinityIndex (0.002210)
28. minHBd (0.002191)
29. MDEO-11 (0.002154)
30. nO (0.002153)
31. maxssCH2 (0.002111)
32. GATS2e (0.002069)
33. maxHBa (0.002067)
34. ETA_Psi_1 (0.002056)
35. MDEN-22 (0.001922)
36. maxHBint4 (0.001907)
37. CIC1 (0.001867)
38. CIC2 (0.001850)
39. MLFER_A (0.001848)
40. nHBAcc (0.001838)
41. WTPT-4 (0.001809)
42. BIC1 (0.001804)
43. ETA_dAlpha_B (0.001797)
44. MATS1c (0.001755)
45. maxHsOH (0.001728)
46. AATSC1c (0.001711)
47. AATSC0c (0.001709)
48. ETA_Epsilon_2 (0.001707)
49. PubchemFP439 (0.001682)
50. PubchemFP679 (0.001658)
51. IC0 (0.001647)
52. ATSC1c (0.001629)
53. MLFER_S (0.001628)
54. nBase (0.001603)
55. SIC0 (0.001597)
56. GATS2c (0.001592)
57. AATSC0e (0.001589)
58. GATS2s (0.001586)
59. BIC0 (0.001585)
60. SIC1 (0.001582)
61. minwHBa (0.001579)
62. PubchemFP582 (0.001573)
63. nHCsats (0.001568)
64. MAXDP2 (0.001557)
65. ETA_EtaP (0.001549)
66. C1SP2 (0.001541)
67. MAXDP (0.001529)
68. mindssC (0.001515)
69. MAXDN2 (0.001507)
70. PubchemFP2 (0.001503)
71. PubchemFP286 (0.001492)
72. GATS1e (0.001478)
73. SssCH2 (0.001478)
74. PubchemFP553 (0.001470)
75. PubchemFP560 (0.001468)
76. maxaasC (0.001468)
77. AATS1i (0.001426)
78. ndssC (0.001425)
79. GATS1s (0.001422)
80. PubchemFP684 (0.001402)
81. minssCH2 (0.001380)
82. ATSC1e (0.001366)
83. IC1 (0.001345)
84. ZMIC2 (0.001342)
85. BIC2 (0.001339)
86. MATS2e (0.001336)
87. AATS1e (0.001324)
88. ETA_dEpsilon_D (0.001319)
89. ATSC1m (0.001318)
90. PubchemFP654 (0.001304)
91. MDEC-22 (0.001303)
92. MATS2c (0.001301)
93. minHBint4 (0.001299)
94. minHsOH (0.001299)
95. SIC2 (0.001298)
96. minHdsCH (0.001290)
97. minHBa (0.001290)
98. PubchemFP12 (0.001287)
99. MLFER_BH (0.001287)
100. maxHdsCH (0.001283)
101. SHCsats (0.001281)
102. MLogP (0.001274)
103. hmax (0.001273)
104. AMR (0.001256)
105. SHsOH (0.001256)
106. ETA_AlphaP (0.001253)
107. ATSC2c (0.001250)
108. GGI3 (0.001250)
109. nN (0.001243)
110. MATS1s (0.001241)
111. maxsssCH (0.001237)
112. MAXDN (0.001231)
113. ZMIC3 (0.001228)
114. ETA_dEpsilon_C (0.001228)
115. MLFER_BO (0.001222)
116. nssCH2 (0.001219)
117. SHBint4 (0.001212)
118. ATS2m (0.001211)
119. PubchemFP440 (0.001210)
120. ALogP (0.001204)
121. ATSC2p (0.001203)
122. ALogp2 (0.001201)
123. ATSC2i (0.001194)
124. ATSC4p (0.001194)
125. AATS4s (0.001188)
126. AATSC1m (0.001186)
127. nBondsS3 (0.001183)
128. ZMIC1 (0.001180)
129. ATSC4v (0.001172)
130. CIC0 (0.001172)
131. PubchemFP185 (0.001171)
132. AATS3s (0.001166)
133. AATSC2p (0.001163)
134. ETA_EtaP_L (0.001163)
135. PubchemFP143 (0.001161)
136. nAcid (0.001157)
137. AATSC1e (0.001156)
138. PubchemFP308 (0.001156)
139. nHBDon_Lipinski (0.001156)
140. PubchemFP671 (0.001152)
141. WTPT-3 (0.001145)
142. C2SP3 (0.001143)
143. ETA_dEpsilon_A (0.001142)
144. Mse (0.001136)
145. AATS0e (0.001134)
146. ATSC3c (0.001123)
147. nBondsS2 (0.001119)
148. AATSC0v (0.001113)
149. GATS4v (0.001111)
150. AATS2m (0.001109)
151. GGI4 (0.001101)
152. nH (0.001100)
153. ATSC8i (0.001099)
154. ZMIC4 (0.001097)
155. ATSC3s (0.001096)
156. ETA_Epsilon_4 (0.001094)
157. ATSC3p (0.001093)
158. nHBDon (0.001093)
159. ATSC2e (0.001093)
160. MATS1m (0.001092)
161. PubchemFP645 (0.001091)
162. ETA_Eta_L (0.001090)
163. WTPT-5 (0.001087)
164. PubchemFP352 (0.001087)
165. ETA_dBeta (0.001087)
166. nHBd (0.001087)
167. n6Ring (0.001085)
168. AATS2v (0.001084)
169. Mare (0.001081)
170. MATS1e (0.001080)
171. Mv (0.001078)
172. maxssssNp (0.001077)
173. ATS3p (0.001075)
174. nHBAcc2 (0.001072)
175. SHBa (0.001072)
176. ZMIC5 (0.001071)
177. AATSC2c (0.001068)
178. AATSC4v (0.001067)
179. AATSC2i (0.001067)
180. hmin (0.001066)
181. MATS4v (0.001063)
182. minssssNp (0.001061)
183. MATS8i (0.001061)
184. GATS5e (0.001057)
185. GATS4p (0.001054)
186. GATS3v (0.001053)
187. ATS3i (0.001053)
188. GATS1c (0.001053)
189. MATS4p (0.001052)
190. MATS2p (0.001052)
191. GATS8p (0.001048)
192. ATSC2v (0.001048)
193. AATSC4p (0.001048)
194. PubchemFP186 (0.001047)
195. PubchemFP179 (0.001045)
196. ETA_EtaP_F_L (0.001045)
197. AMW (0.001044)
198. Mpe (0.001044)
199. ETA_EtaP_F (0.001043)
200. AATSC3c (0.001043)
201. AATS0v (0.001042)
202. CIC3 (0.001040)
203. ETA_Epsilon_1 (0.001037)
204. minsOH (0.001035)
205. ATSC0c (0.001033)
206. AATSC8p (0.001032)
207. ATSC3v (0.001031)
208. PubchemFP457 (0.001031)
209. AATS2p (0.001031)
210. GATS3p (0.001029)
211. AATS1v (0.001028)
212. MATS3v (0.001027)
213. MIC1 (0.001026)
214. MATS2s (0.001025)
215. ATS3m (0.001025)
216. MDEC-11 (0.001024)
217. AATS5s (0.001023)
218. mindsN (0.001022)
219. GATS4i (0.001022)
220. maxdsN (0.001022)
221. MATS3c (0.001022)
222. AATSC2e (0.001021)
223. MIC0 (0.001019)
224. nssssNp (0.001018)
225. AATSC8i (0.001016)
226. ATS2p (0.001014)
227. MATS8p (0.001013)
228. GATS2p (0.001011)
229. PubchemFP375 (0.001010)
230. SdssC (0.001007)
231. ATSC0e (0.001007)
232. AATSC3p (0.001006)
233. AATS2s (0.001006)
234. ETA_Shape_P (0.001004)
235. ETA_Eta (0.001004)
236. AATS1p (0.001002)
237. AATSC3v (0.001001)
238. MPC5 (0.001001)
239. ATSC3m (0.001000)
240. MATS3p (0.000999)
241. SaaCH (0.000999)
242. MATS2i (0.000999)
243. TPC (0.000998)
244. minHCsats (0.000998)
245. GATS1m (0.000997)
246. PubchemFP414 (0.000997)
247. PubchemFP617 (0.000996)
248. PubchemFP406 (0.000992)
249. PubchemFP342 (0.000988)
250. PubchemFP447 (0.000988)
